"columns","rows","columnnames","rownames","correlation_vec","reg_coeff","reg_const","stat_sig","sample_size"
317,730,"nettmøte1","skolvansk3",0.197794982172782,0.0754905793135797,1.25572668282387,0.00101752993412667,32382
141,355,"covid7","friluft2",-0.156054639844347,-0.115192888539646,2.47552979888516,0.00103621187148148,67480
465,451,"alkprob3","alknei6",0.233159645000308,0.198773448773449,0.808802308802313,0.00103698941897459,53959
755,378,"spilltid3_7","poldelt5",-0.2521664330248,-0.515822784810127,1.26582278481013,0.00104724296710643,35923
206,241,"energi1","rusholdn13",-0.18055380732409,-0.747119897596357,4.54487270658512,0.00105881657331065,32354
292,500,"framtid7","alkskaf2_10",-0.481812055829716,-1.85714285714286,4.85714285714286,0.00107028020300716,40261
567,354,"forhfor9","friluft1",-0.16925782962857,-0.131468146900617,3.54729416212688,0.00108182202817077,67825
476,751,"alkprob14","spilltid3_3",0.293036493733398,0.334065934065935,1.06593406593407,0.00110685315652483,141689
476,750,"alkprob14","spilltid3_2",0.292821972371346,0.373737373737375,1.08080808080808,0.00111664748198585,141689
534,654,"depr8_2010","piller2",-0.208489367247006,-0.821533923303838,3.976401179941,0.00113133744590186,117578
358,392,"friluft6","hatytring2",-0.231170475907815,-0.435868754660704,5.01416853094706,0.00114788892728478,40067
225,405,"alknei1","naken4",0.236012297355249,0.171138877509218,0.942339205243754,0.00121997231191341,25985
386,525,"samftil13","databruk7",-0.268768826376095,-0.22604658608821,3.10461858640839,0.0012199920156907,78324
361,395,"friluft9","hatytring6",-0.230876323231811,-0.479402985074629,5.08597014925373,0.00123635994725667,39802
534,653,"depr8_2010","piller1",-0.20658359431463,-0.712895927601813,3.87579185520362,0.00125872796546909,117789
553,593,"eat3","helsest3_4",-0.25356767527605,-0.5102424035507,3.07920792079208,0.00125966862455183,21578
319,279,"vennkont2","skulkgr2",0.394152827623625,3.36507936507938,-1.73015873015874,0.00127027653458242,76859
726,732,"skolint9","skolvansk5",-0.162358631405109,-0.179045959485949,3.08298845567413,0.0012749658414198,32444
227,504,"alknei2","alktype3",0.27032053640898,0.172346540751386,1.0769862451242,0.00128913313268034,54875
390,551,"alvor3","eat1",0.248350732424129,0.284857429971109,2.37988318050496,0.00129803018665014,35320
257,381,"skole9","samftil4",-0.303980955778004,-0.225994014536127,2.87618640444635,0.00131143463246418,49775
267,226,"skoletime5","alknei7",-0.534073355817009,-1.09259259259259,4.01851851851852,0.00136834278738849,30066
217,766,"energru6","søvnprob3",-0.541222460375786,-0.507537688442211,4.4824120603015,0.00138056798787216,53166
206,761,"energi1","søvnprob1",0.355916977091343,0.615073752273187,1.60598100626389,0.00138366617396338,53598
480,336,"alkprob18","spillprob6",-0.293360168619962,-0.62285287528006,2.46900672143391,0.0013935094920693,231373
689,390,"rusholdn8","alvor3",-0.221544688666698,-0.0892818241231575,1.58648609396558,0.00141092964869466,38510
503,229,"alktype2","alknei4",0.282422545797959,0.546224961479198,0.589368258859785,0.0014174141986794,57598
756,383,"spilltid3_8","samftil11",0.264126652043525,0.0880812313643324,-0.0103956805544366,0.00143470230434978,60671
732,645,"skolvansk5","narko3",-0.150626740502838,-1.65540540540542,5.96621621621625,0.00143887279398661,91973
160,394,"venner6","hatytring5",-0.163078269376774,-0.326266079155881,2.74883913928352,0.00146551733086952,40027
364,399,"atfpro5","skolehels7",-0.247873586937877,-0.148790746582544,1.3813529617946,0.00147139637804787,30292
683,208,"påviven9","enernei2",0.365393844013768,0.254732975416784,1.52684374116982,0.00147923120720053,50338
259,379,"skole11","samftil1",0.296852745286498,0.15914489311164,1.11757719714965,0.00148134282752322,66453
544,36,"doping4","seksual1",-0.24973482689211,-0.378294573643412,1.91162790697675,0.00150018932007664,219420
388,364,"alvor1","atfpro5",-0.230540002132207,-0.578390993959365,4.44522240527183,0.00150188703801685,364372
632,621,"mobbdig5","media2",-0.449770583722026,-0.35,6.3,0.00151489289802658,135440
